Description,Acronym,Length,ID,die
"NM_001350268.2 Homo sapiens ARMCX5-GPRASP2 readthrough (ARMCX5-GPRASP2), transcript variant 2, mRNA",ARMCX5-GPRASP2,6015,NM_001350268.2,no
"NM_006772.3 Homo sapiens synaptic Ras GTPase activating protein 1 (SYNGAP1), transcript variant 1, mRNA",SYNGAP1,6015,NM_006772.3,no
"NM_002662.5 Homo sapiens phospholipase D1 (PLD1), transcript variant 1, mRNA",PLD1,6015,NM_002662.5,no
"NM_003265.3 Homo sapiens toll like receptor 3 (TLR3), mRNA",TLR3,6015,NM_003265.3,no
"NM_014703.3 Homo sapiens DDB1 and CUL4 associated factor 1 (DCAF1), transcript variant 1, mRNA",DCAF1,6014,NM_014703.3,no
"NM_178229.5 Homo sapiens IQ motif containing GTPase activating protein 3 (IQGAP3), mRNA",IQGAP3,6013,NM_178229.5,no
"NM_001041.4 Homo sapiens sucrase-isomaltase (SI), mRNA",SI,6012,NM_001041.4,no
"NM_001365902.2 Homo sapiens nuclear factor I X (NFIX), transcript variant 4, mRNA",NFIX,6010,NM_001365902.2,no
"NM_001322841.2 Homo sapiens ABR activator of RhoGEF and GTPase (ABR), transcript variant 7, mRNA",ABR,6010,NM_001322841.2,no
"NM_001362884.2 Homo sapiens leucine zipper tumor suppressor 1 (LZTS1), transcript variant 2, mRNA",LZTS1,6010,NM_001362884.2,no
"NM_001007024.2 Homo sapiens golgi SNAP receptor complex member 1 (GOSR1), transcript variant 3, mRNA",GOSR1,6009,NM_001007024.2,no
"NM_001265602.1 Homo sapiens structural maintenance of chromosomes 2 (SMC2), transcript variant 4, mRNA",SMC2,6008,NM_001265602.1,no
"NM_001367934.1 Homo sapiens ATPase phospholipid transporting 8B2 (ATP8B2), transcript variant 3, mRNA",ATP8B2,6006,NM_001367934.1,no
"NM_001198815.1 Homo sapiens mucin 22 (MUC22), transcript variant 2, mRNA",MUC22,6005,NM_001198815.1,no
"NM_004973.4 Homo sapiens jumonji and AT-rich interaction domain containing 2 (JARID2), transcript variant 1, mRNA",JARID2,6003,NM_004973.4,no
"NM_015177.2 Homo sapiens deltex E3 ubiquitin ligase 4 (DTX4), transcript variant 1, mRNA",DTX4,6003,NM_015177.2,no
"NM_175737.4 Homo sapiens klotho beta (KLB), mRNA",KLB,6002,NM_175737.4,no
"NM_002271.6 Homo sapiens importin 5 (IPO5), mRNA",IPO5,6002,NM_002271.6,no
"NR_026677.1 Homo sapiens MIR600 host gene (MIR600HG), long non-coding RNA",MIR600HG,6002,NR_026677.1,no
"NM_001288985.2 Homo sapiens ATP binding cassette subfamily A member 8 (ABCA8), transcript variant 1, mRNA",ABCA8,6002,NM_001288985.2,no
"NM_177444.3 Homo sapiens PPFIA binding protein 1 (PPFIBP1), transcript variant 2, mRNA",PPFIBP1,6001,NM_177444.3,no
"NM_001376131.1 Homo sapiens BTB domain containing 8 (BTBD8), transcript variant 1, mRNA",BTBD8,5999,NM_001376131.1,no
"NM_001990.4 Homo sapiens EYA transcriptional coactivator and phosphatase 3 (EYA3), transcript variant 1, mRNA",EYA3,5999,NM_001990.4,no
"NM_033624.3 Homo sapiens F-box protein 21 (FBXO21), transcript variant 1, mRNA",FBXO21,5997,NM_033624.3,no
"NM_004130.4 Homo sapiens glycogenin 1 (GYG1), transcript variant 1, mRNA",GYG1,5996,NM_004130.4,no
"NM_001284206.1 Homo sapiens DDB1 and CUL4 associated factor 5 (DCAF5), transcript variant 2, mRNA",DCAF5,5996,NM_001284206.1,no
"NR_126055.1 Homo sapiens thyroid cancer-associated transcript 155 (THCAT155), long non-coding RNA",THCAT155,5995,NR_126055.1,no
"NM_003802.3 Homo sapiens myosin heavy chain 13 (MYH13), mRNA",MYH13,5994,NM_003802.3,no
"NR_148019.2 Homo sapiens lines homolog 1 (LINS1), transcript variant 6, non-coding RNA",LINS1,5994,NR_148019.2,no
"NM_001031716.4 Homo sapiens nucleic acid binding protein 1 (NABP1), transcript variant 1, mRNA",NABP1,5993,NM_001031716.4,no
"NM_014712.3 Homo sapiens SET domain containing 1A, histone lysine methyltransferase (SETD1A), mRNA",SETD1A,5991,NM_014712.3,no
"NM_014864.4 Homo sapiens FAM20B glycosaminoglycan xylosylkinase (FAM20B), transcript variant 1, mRNA",FAM20B,5991,NM_014864.4,no
"NM_001012427.2 Homo sapiens forkhead box P4 (FOXP4), transcript variant 3, mRNA",FOXP4,5988,NM_001012427.2,no
"NM_001102450.3 Homo sapiens regulator of G protein signaling 8 (RGS8), transcript variant 2, mRNA",RGS8,5987,NM_001102450.3,no
"NM_001378067.1 Homo sapiens myotubularin related protein 4 (MTMR4), transcript variant 3, mRNA",MTMR4,5987,NM_001378067.1,no
"NM_001162429.2 Homo sapiens programmed cell death 6 interacting protein (PDCD6IP), transcript variant 2, mRNA",PDCD6IP,5987,NM_001162429.2,no
"NM_004822.3 Homo sapiens netrin 1 (NTN1), mRNA",NTN1,5986,NM_004822.3,no
"NM_001018111.3 Homo sapiens podocalyxin like (PODXL), transcript variant 1, mRNA",PODXL,5986,NM_001018111.3,no
"NM_025190.3 Homo sapiens ankyrin repeat domain 36B (ANKRD36B), transcript variant 1, mRNA",ANKRD36B,5986,NM_025190.3,no
"NM_015111.2 Homo sapiens NEDD4 binding protein 3 (N4BP3), mRNA",N4BP3,5985,NM_015111.2,no
"NM_001097634.1 Homo sapiens glucosaminyl (N-acetyl) transferase 1 (GCNT1), transcript variant 1, mRNA",N-acetyl,5984,NM_001097634.1,no
"NM_001199527.2 Homo sapiens uromodulin like 1 (UMODL1), transcript variant 3, mRNA",UMODL1,5983,NM_001199527.2,no
"NM_015692.5 Homo sapiens C3 and PZP like alpha-2-macroglobulin domain containing 8 (CPAMD8), transcript variant 1, mRNA",CPAMD8,5983,NM_015692.5,no
"NM_020713.3 Homo sapiens zinc finger protein 512B (ZNF512B), mRNA",ZNF512B,5982,NM_020713.3,no
"NM_002235.3 Homo sapiens potassium voltage-gated channel subfamily A member 6 (KCNA6), mRNA",KCNA6,5982,NM_002235.3,no
"NM_173511.4 Homo sapiens family with sequence similarity 117 member B (FAM117B), mRNA",FAM117B,5982,NM_173511.4,no
"NM_001290205.2 Homo sapiens decapping mRNA 1A (DCP1A), transcript variant 3, mRNA",DCP1A,5981,NM_001290205.2,no
"NM_019619.4 Homo sapiens par-3 family cell polarity regulator (PARD3), transcript variant 1, mRNA",PARD3,5980,NM_019619.4,no
"NM_007030.3 Homo sapiens tubulin polymerization promoting protein (TPPP), mRNA",TPPP,5979,NM_007030.3,no
"NM_017988.6 Homo sapiens SCY1 like pseudokinase 2 (SCYL2), transcript variant 1, mRNA",SCYL2,5977,NM_017988.6,no
"NM_001319943.1 Homo sapiens peptidylglycine alpha-amidating monooxygenase (PAM), transcript variant 7, mRNA",PAM,5976,NM_001319943.1,no
"NM_017575.5 Homo sapiens SMG6 nonsense mediated mRNA decay factor (SMG6), transcript variant 1, mRNA",SMG6,5974,NM_017575.5,no
"NM_015044.4 Homo sapiens golgi associated, gamma adaptin ear containing, ARF binding protein 2 (GGA2), mRNA",GGA2,5973,NM_015044.4,no
"NM_001142648.2 Homo sapiens secretion associated Ras related GTPase 1A (SAR1A), transcript variant 1, mRNA",SAR1A,5972,NM_001142648.2,no
"NM_001365552.1 Homo sapiens NIMA related kinase 5 (NEK5), transcript variant 2, mRNA",NEK5,5971,NM_001365552.1,no
"NM_001625.4 Homo sapiens adenylate kinase 2 (AK2), transcript variant 1, mRNA",AK2,5970,NM_001625.4,no
"NR_144534.1 Homo sapiens von Willebrand factor D and EGF domains (VWDE), transcript variant 4, non-coding RNA",VWDE,5969,NR_144534.1,no
"NM_001367768.2 Homo sapiens family with sequence similarity 149 member A (FAM149A), transcript variant 5, mRNA",FAM149A,5968,NM_001367768.2,no
"NM_153369.3 Homo sapiens major facilitator superfamily domain containing 4B (MFSD4B), mRNA",MFSD4B,5967,NM_153369.3,no
"NR_040051.1 Homo sapiens IQCH antisense RNA 1 (IQCH-AS1), transcript variant 1, long non-coding RNA",IQCH-AS1,5966,NR_040051.1,no
"NM_022842.5 Homo sapiens CUB domain containing protein 1 (CDCP1), transcript variant 1, mRNA",CDCP1,5963,NM_022842.5,no
"NM_001321731.2 Homo sapiens exocyst complex component 6B (EXOC6B), transcript variant 4, mRNA",EXOC6B,5963,NM_001321731.2,no
"NM_000830.5 Homo sapiens glutamate ionotropic receptor kainate type subunit 1 (GRIK1), transcript variant 1, mRNA",GRIK1,5962,NM_000830.5,no
"NM_183422.4 Homo sapiens TSC22 domain family member 1 (TSC22D1), transcript variant 1, mRNA",TSC22D1,5961,NM_183422.4,no
"NM_198321.4 Homo sapiens polypeptide N-acetylgalactosaminyltransferase 10 (GALNT10), mRNA",GALNT10,5958,NM_198321.4,no
"NM_001144000.2 Homo sapiens ArfGAP with GTPase domain, ankyrin repeat and PH domain 5 (AGAP5), mRNA",AGAP5,5958,NM_001144000.2,no
"NM_002855.5 Homo sapiens nectin cell adhesion molecule 1 (NECTIN1), transcript variant 1, mRNA",NECTIN1,5956,NM_002855.5,no
"NM_001330331.2 Homo sapiens ring finger protein 111 (RNF111), transcript variant 5, mRNA",RNF111,5956,NM_001330331.2,no
"NM_024735.5 Homo sapiens F-box protein 31 (FBXO31), transcript variant 1, mRNA",FBXO31,5953,NM_024735.5,no
"NM_014117.3 Homo sapiens chromosome 16 open reading frame 72 (C16orf72), mRNA",C16orf72,5952,NM_014117.3,no
"NM_001321291.1 Homo sapiens ubiquitin specific peptidase 36 (USP36), mRNA",USP36,5951,NM_001321291.1,no
"NM_019099.5 Homo sapiens inka box actin regulator 2 (INKA2), transcript variant 1, mRNA",INKA2,5951,NM_019099.5,no
"NM_201431.2 Homo sapiens Ras association domain family member 6 (RASSF6), transcript variant 2, mRNA",RASSF6,5950,NM_201431.2,no
"NM_015110.4 Homo sapiens structural maintenance of chromosomes 5 (SMC5), mRNA",SMC5,5949,NM_015110.4,no
"NM_005224.3 Homo sapiens AT-rich interaction domain 3A (ARID3A), mRNA",ARID3A,5948,NM_005224.3,no
"NM_001099289.3 Homo sapiens SH3 domain containing ring finger 3 (SH3RF3), mRNA",SH3RF3,5948,NM_001099289.3,no
"NM_001349928.2 Homo sapiens intraflagellar transport 74 (IFT74), transcript variant 5, mRNA",IFT74,5947,NM_001349928.2,no
"NM_194302.4 Homo sapiens cilia and flagella associated protein 65 (CFAP65), transcript variant 1, mRNA",CFAP65,5946,NM_194302.4,no
"NM_001368134.1 Homo sapiens forkhead box O3B (FOXO3B), transcript variant 1, mRNA",FOXO3B,5946,NM_001368134.1,no
"NM_001321917.2 Homo sapiens ZFP82 zinc finger protein (ZFP82), transcript variant 2, mRNA",ZFP82,5944,NM_001321917.2,no
"NR_026891.1 Homo sapiens GABPB1 intronic transcript (GABPB1-IT1), long non-coding RNA",GABPB1-IT1,5944,NR_026891.1,no
"NM_032048.3 Homo sapiens elastin microfibril interfacer 2 (EMILIN2), mRNA",EMILIN2,5944,NM_032048.3,no
"NM_001375655.1 Homo sapiens spermatogenesis associated 17 (SPATA17), transcript variant 2, mRNA",SPATA17,5942,NM_001375655.1,no
"NM_024528.4 Homo sapiens NFKB activating protein (NKAP), mRNA",NKAP,5942,NM_024528.4,no
"NM_000212.3 Homo sapiens integrin subunit beta 3 (ITGB3), mRNA",ITGB3,5941,NM_000212.3,no
"NM_014007.4 Homo sapiens zinc finger and BTB domain containing 43 (ZBTB43), transcript variant 1, mRNA",ZBTB43,5940,NM_014007.4,no
"NM_002471.4 Homo sapiens myosin heavy chain 6 (MYH6), mRNA",MYH6,5940,NM_002471.4,yes
"NM_001127392.3 Homo sapiens myelin regulatory factor (MYRF), transcript variant 2, mRNA",MYRF,5940,NM_001127392.3,no
"NM_000214.3 Homo sapiens jagged canonical Notch ligand 1 (JAG1), mRNA",JAG1,5940,NM_000214.3,no
"NM_001135057.3 Homo sapiens leucine rich repeat containing 15 (LRRC15), transcript variant 1, mRNA",LRRC15,5938,NM_001135057.3,no
"NR_135922.1 Homo sapiens Putative uncharacterized protein DKFZp434K191 (LOC102725072), non-coding RNA",LOC102725072,5935,NR_135922.1,no
"NM_052923.2 Homo sapiens zinc finger BED-type containing 9 (ZBED9), transcript variant 1, mRNA",ZBED9,5935,NM_052923.2,no
"NM_020925.4 Homo sapiens cache domain containing 1 (CACHD1), transcript variant 1, mRNA",CACHD1,5933,NM_020925.4,no
"NM_001352615.2 Homo sapiens myocyte enhancer factor 2A (MEF2A), transcript variant 8, mRNA",MEF2A,5933,NM_001352615.2,no
"NM_001247997.1 Homo sapiens CAP-Gly domain containing linker protein 1 (CLIP1), transcript variant 3, mRNA",CLIP1,5931,NM_001247997.1,no
"NM_016227.3 Homo sapiens SUN domain containing ossification factor (SUCO), transcript variant 2, mRNA",SUCO,5930,NM_016227.3,no
"NM_001083112.3 Homo sapiens glycerol-3-phosphate dehydrogenase 2 (GPD2), transcript variant 1, mRNA",GPD2,5930,NM_001083112.3,no
"NM_020899.4 Homo sapiens zinc finger and BTB domain containing 4 (ZBTB4), transcript variant 1, mRNA",ZBTB4,5930,NM_020899.4,no
"NM_001258205.2 Homo sapiens transient receptor potential cation channel subfamily V member 3 (TRPV3), transcript variant 1, mRNA",TRPV3,5930,NM_001258205.2,no
"NM_001006627.2 Homo sapiens cholinergic receptor muscarinic 2 (CHRM2), transcript variant 2, mRNA",CHRM2,5928,NM_001006627.2,no
"NM_001105573.2 Homo sapiens F-box protein 45 (FBXO45), mRNA",FBXO45,5927,NM_001105573.2,no
"NM_019035.5 Homo sapiens protocadherin 18 (PCDH18), transcript variant 1, mRNA",PCDH18,5925,NM_019035.5,no
"NM_016353.5 Homo sapiens zinc finger DHHC-type palmitoyltransferase 2 (ZDHHC2), transcript variant 1, mRNA",ZDHHC2,5924,NM_016353.5,no
"NM_001355272.2 Homo sapiens leucine rich repeat containing 9 (LRRC9), transcript variant 1, mRNA",LRRC9,5923,NM_001355272.2,no
"NR_027512.1 Homo sapiens BEN domain containing 3 pseudogene 3 (BEND3P3), non-coding RNA",BEND3P3,5923,NR_027512.1,no
"NM_024121.3 Homo sapiens transmembrane protein 185B (TMEM185B), mRNA",TMEM185B,5922,NM_024121.3,no
"NM_001346693.2 Homo sapiens RIC3 acetylcholine receptor chaperone (RIC3), transcript variant 9, mRNA",RIC3,5921,NM_001346693.2,no
"NM_001278529.2 Homo sapiens Rho guanine nucleotide exchange factor 40 (ARHGEF40), transcript variant 2, mRNA",ARHGEF40,5920,NM_001278529.2,no
"NM_014053.4 Homo sapiens FLVCR heme transporter 1 (FLVCR1), mRNA",FLVCR1,5919,NM_014053.4,no
"NM_001351782.2 Homo sapiens caspase recruitment domain family member 8 (CARD8), transcript variant 10, mRNA",CARD8,5917,NM_001351782.2,no
"NM_012454.3 Homo sapiens TIAM Rac1 associated GEF 2 (TIAM2), transcript variant 1, mRNA",TIAM2,5916,NM_012454.3,no
"NM_001352472.1 Homo sapiens zinc finger protein 248 (ZNF248), transcript variant 9, mRNA",ZNF248,5916,NM_001352472.1,no
"NM_018569.6 Homo sapiens adaptor related protein complex 1 associated regulatory protein (AP1AR), transcript variant 1, mRNA",AP1AR,5915,NM_018569.6,no
"NM_001079872.2 Homo sapiens cullin 4B (CUL4B), transcript variant 2, mRNA",CUL4B,5915,NM_001079872.2,no
"NM_000088.4 Homo sapiens collagen type I alpha 1 chain (COL1A1), mRNA",COL1A1,5914,NM_000088.4,no
"NM_032445.2 Homo sapiens multiple EGF like domains 11 (MEGF11), mRNA",MEGF11,5914,NM_032445.2,no
"NR_028509.1 Homo sapiens prostate androgen-regulated transcript 1 (PART1), transcript variant 3, long non-coding RNA",PART1,5914,NR_028509.1,no
"NM_007350.3 Homo sapiens pleckstrin homology like domain family A member 1 (PHLDA1), mRNA",PHLDA1,5913,NM_007350.3,no
"NM_003640.5 Homo sapiens elongator complex protein 1 (ELP1), transcript variant 1, mRNA",ELP1,5913,NM_003640.5,no
"NM_207308.2 Homo sapiens nucleoporin 210 like (NUP210L), transcript variant 1, mRNA",NUP210L,5913,NM_207308.2,no
"NM_001423.3 Homo sapiens epithelial membrane protein 1 (EMP1), mRNA",EMP1,5913,NM_001423.3,no
"NM_004938.4 Homo sapiens death associated protein kinase 1 (DAPK1), transcript variant 1, mRNA",DAPK1,5912,NM_004938.4,no
"NM_005920.4 Homo sapiens myocyte enhancer factor 2D (MEF2D), transcript variant 1, mRNA",MEF2D,5912,NM_005920.4,no
"NM_016628.5 Homo sapiens WW domain containing adaptor with coiled-coil (WAC), transcript variant 1, mRNA",WAC,5912,NM_016628.5,no
"NM_001199417.2 Homo sapiens Rho GTPase activating protein 23 (ARHGAP23), mRNA",ARHGAP23,5911,NM_001199417.2,no
"NR_131769.2 Homo sapiens cyclin J like (CCNJL), transcript variant 3, non-coding RNA",CCNJL,5909,NR_131769.2,no
"NM_004703.6 Homo sapiens rabaptin, RAB GTPase binding effector protein 1 (RABEP1), transcript variant 1, mRNA",RABEP1,5909,NM_004703.6,no
"NM_032208.2 Homo sapiens ANTXR cell adhesion molecule 1 (ANTXR1), transcript variant 1, mRNA",ANTXR1,5909,NM_032208.2,no
"NR_136228.2 Homo sapiens DEAH-box helicase 8 (DHX8), transcript variant 12, non-coding RNA",DHX8,5908,NR_136228.2,no
"NM_015016.2 Homo sapiens microtubule associated serine/threonine kinase 3 (MAST3), mRNA",MAST3,5906,NM_015016.2,no
"NM_017590.6 Homo sapiens zinc finger CCCH-type containing 7B (ZC3H7B), mRNA",ZC3H7B,5906,NM_017590.6,no
"NM_001320032.2 Homo sapiens ATP binding cassette subfamily C member 5 (ABCC5), transcript variant 3, mRNA",ABCC5,5905,NM_001320032.2,no
"NM_001105562.3 Homo sapiens ubiquitination factor E4B (UBE4B), transcript variant 1, mRNA",UBE4B,5905,NM_001105562.3,no
"NR_024618.1 Homo sapiens long intergenic non-protein coding RNA 2035 (LINC02035), long non-coding RNA",LINC02035,5904,NR_024618.1,no
"NM_001165928.3 Homo sapiens dystroglycan 1 (DAG1), transcript variant 1, mRNA",DAG1,5904,NM_001165928.3,no
"NM_152536.4 Homo sapiens FYVE, RhoGEF and PH domain containing 5 (FGD5), transcript variant 1, mRNA",FGD5,5903,NM_152536.4,no
"NM_001375638.1 Homo sapiens leukocyte receptor cluster member 8 (LENG8), transcript variant 1, mRNA",LENG8,5902,NM_001375638.1,no
"NM_001367773.1 Homo sapiens extended synaptotagmin 2 (ESYT2), transcript variant 1, mRNA",ESYT2,5902,NM_001367773.1,no
"NM_001184727.2 Homo sapiens G protein-coupled receptor associated sorting protein 1 (GPRASP1), transcript variant 4, mRNA",GPRASP1,5901,NM_001184727.2,no
"NR_146210.1 Homo sapiens ribosomal protein S6 kinase C1 (RPS6KC1), transcript variant 35, non-coding RNA",RPS6KC1,5901,NR_146210.1,no
"NM_001242607.2 Homo sapiens neural cell adhesion molecule 1 (NCAM1), transcript variant 5, mRNA",NCAM1,5897,NM_001242607.2,no
"NM_018898.5 Homo sapiens protocadherin alpha subfamily C, 1 (PCDHAC1), transcript variant 1, mRNA",PCDHAC1,5896,NM_018898.5,no
"NM_000213.5 Homo sapiens integrin subunit beta 4 (ITGB4), transcript variant 1, mRNA",ITGB4,5896,NM_000213.5,no
"NM_014597.5 Homo sapiens deoxynucleotidyltransferase terminal interacting protein 2 (DNTTIP2), mRNA",DNTTIP2,5896,NM_014597.5,no
"NM_001145161.3 Homo sapiens ubiquitin conjugating enzyme E2 Q family like 1 (UBE2QL1), mRNA",UBE2QL1,5895,NM_001145161.3,no
"NM_001128423.2 Homo sapiens MPV17 mitochondrial inner membrane protein like (MPV17L), transcript variant 1, mRNA",MPV17L,5894,NM_001128423.2,no
"NM_014594.3 Homo sapiens zinc finger protein 354C (ZNF354C), mRNA",ZNF354C,5893,NM_014594.3,no
"NM_021194.3 Homo sapiens solute carrier family 30 member 1 (SLC30A1), mRNA",SLC30A1,5893,NM_021194.3,no
"NM_005990.4 Homo sapiens serine/threonine kinase 10 (STK10), mRNA",STK10,5892,NM_005990.4,no
"NM_032494.3 Homo sapiens zinc finger CCCH-type containing 8 (ZC3H8), mRNA",ZC3H8,5892,NM_032494.3,no
"NM_001377134.1 Homo sapiens phospholipase C beta 4 (PLCB4), transcript variant 4, mRNA",PLCB4,5892,NM_001377134.1,no
"NM_006068.4 Homo sapiens toll like receptor 6 (TLR6), mRNA",TLR6,5891,NM_006068.4,no
"NM_002375.5 Homo sapiens microtubule associated protein 4 (MAP4), transcript variant 1, mRNA",MAP4,5891,NM_002375.5,no
"NM_001270520.2 Homo sapiens dishevelled associated activator of morphogenesis 1 (DAAM1), transcript variant 2, mRNA",DAAM1,5890,NM_001270520.2,no
"NM_001278631.1 Homo sapiens gamma-aminobutyric acid type A receptor subunit beta3 (GABRB3), transcript variant 5, mRNA",GABRB3,5889,NM_001278631.1,no
"NM_001365906.3 Homo sapiens papilin, proteoglycan like sulfated glycoprotein (PAPLN), transcript variant 4, mRNA",PAPLN,5889,NM_001365906.3,no
"NM_001332.4 Homo sapiens catenin delta 2 (CTNND2), transcript variant 1, mRNA",CTNND2,5888,NM_001332.4,no
"NR_109843.2 Homo sapiens ITPR interacting domain containing 2 (ITPRID2), transcript variant 6, non-coding RNA",ITPRID2,5886,NR_109843.2,no
"NM_001164748.2 Homo sapiens Ras association domain family member 8 (RASSF8), transcript variant 3, mRNA",RASSF8,5886,NM_001164748.2,no
"NM_001347872.2 Homo sapiens myosin light chain kinase family member 4 (MYLK4), transcript variant 2, mRNA",MYLK4,5886,NM_001347872.2,no
"NM_001349205.1 Homo sapiens lipin 1 (LPIN1), transcript variant 11, mRNA",LPIN1,5885,NM_001349205.1,no
"NR_159378.1 Homo sapiens serine and arginine repetitive matrix 1 (SRRM1), transcript variant 5, non-coding RNA",SRRM1,5884,NR_159378.1,no
"NM_001164407.2 Homo sapiens TLC domain containing 2 (TLCD2), mRNA",TLCD2,5884,NM_001164407.2,no
"NM_001321743.1 Homo sapiens family with sequence similarity 168 member B (FAM168B), transcript variant 2, mRNA",FAM168B,5884,NM_001321743.1,no
"NM_001330372.2 Homo sapiens mannose phosphate isomerase (MPI), transcript variant 5, mRNA",MPI,5882,NM_001330372.2,no
"NM_007313.2 Homo sapiens ABL proto-oncogene 1, non-receptor tyrosine kinase (ABL1), transcript variant b, mRNA",ABL1,5881,NM_007313.2,no
"NM_002745.5 Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 1, mRNA",MAPK1,5881,NM_002745.5,no
"NR_040053.2 Homo sapiens ring finger protein 41 (RNF41), transcript variant 5, non-coding RNA",RNF41,5879,NR_040053.2,no
"NM_016436.5 Homo sapiens PHD finger protein 20 (PHF20), mRNA",PHF20,5879,NM_016436.5,no
"NM_001303143.2 Homo sapiens HAUS augmin like complex subunit 3 (HAUS3), transcript variant 1, mRNA",HAUS3,5879,NM_001303143.2,no
"NM_001289396.1 Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 (SMARCA2), transcript variant 3, mRNA",SMARCA2,5879,NM_001289396.1,no
"NM_030581.4 Homo sapiens WD repeat domain 59 (WDR59), transcript variant 1, mRNA",WDR59,5878,NM_030581.4,no
"NM_153026.3 Homo sapiens prickle planar cell polarity protein 1 (PRICKLE1), transcript variant 1, mRNA",PRICKLE1,5878,NM_153026.3,no
"NM_001008388.5 Homo sapiens CDGSH iron sulfur domain 2 (CISD2), mRNA",CISD2,5878,NM_001008388.5,no
"NM_001244972.1 Homo sapiens neuropilin 1 (NRP1), transcript variant 4, mRNA",NRP1,5877,NM_001244972.1,no
"NM_014783.6 Homo sapiens Rho GTPase activating protein 11A (ARHGAP11A), transcript variant 1, mRNA",ARHGAP11A,5876,NM_014783.6,no
"NM_006514.3 Homo sapiens sodium voltage-gated channel alpha subunit 10 (SCN10A), transcript variant 1, mRNA",SCN10A,5874,NM_006514.3,no
"NM_020698.4 Homo sapiens transmembrane and coiled-coil domain family 3 (TMCC3), transcript variant 1, mRNA",TMCC3,5874,NM_020698.4,no
"NM_001128930.2 Homo sapiens ectonucleoside triphosphate diphosphohydrolase 4 (ENTPD4), transcript variant 2, mRNA",ENTPD4,5873,NM_001128930.2,no
"NM_002350.4 Homo sapiens LYN proto-oncogene, Src family tyrosine kinase (LYN), transcript variant 1, mRNA",LYN,5872,NM_002350.4,no
"NM_001561.6 Homo sapiens TNF receptor superfamily member 9 (TNFRSF9), mRNA",TNFRSF9,5872,NM_001561.6,no
"NM_021255.3 Homo sapiens pellino E3 ubiquitin protein ligase family member 2 (PELI2), mRNA",PELI2,5871,NM_021255.3,no
"NM_024529.5 Homo sapiens cell division cycle 73 (CDC73), mRNA",CDC73,5869,NM_024529.5,no
"NM_020883.2 Homo sapiens zinc finger SWIM-type containing 5 (ZSWIM5), mRNA",ZSWIM5,5868,NM_020883.2,no
"NM_001099221.2 Homo sapiens TIFA inhibitor (TIFAB), mRNA",TIFAB,5867,NM_001099221.2,no
"NM_001099415.3 Homo sapiens POM121 transmembrane nucleoporin C (POM121C), transcript variant 1, mRNA",POM121C,5867,NM_001099415.3,no
"NM_207645.4 Homo sapiens chromosome 11 open reading frame 87 (C11orf87), mRNA",C11orf87,5867,NM_207645.4,no
"NM_004521.3 Homo sapiens kinesin family member 5B (KIF5B), mRNA",KIF5B,5866,NM_004521.3,no
"NM_014883.4 Homo sapiens family with sequence similarity 13 member A (FAM13A), transcript variant 1, mRNA",FAM13A,5866,NM_014883.4,no
"NM_152794.4 Homo sapiens hypoxia inducible factor 3 subunit alpha (HIF3A), transcript variant 1, mRNA",HIF3A,5864,NM_152794.4,no
"NM_002892.4 Homo sapiens AT-rich interaction domain 4A (ARID4A), transcript variant 1, mRNA",ARID4A,5864,NM_002892.4,no
"NM_018704.3 Homo sapiens CTTNBP2 N-terminal like (CTTNBP2NL), mRNA",CTTNBP2NL,5864,NM_018704.3,no
"NM_012104.4 Homo sapiens beta-secretase 1 (BACE1), transcript variant a, mRNA",BACE1,5864,NM_012104.4,no
"NM_001323570.2 Homo sapiens centriolar coiled-coil protein 110 (CCP110), transcript variant 4, mRNA",CCP110,5863,NM_001323570.2,no
"NM_007356.3 Homo sapiens laminin subunit beta 4 (LAMB4), transcript variant 1, mRNA",LAMB4,5861,NM_007356.3,no
"NR_030761.2 Homo sapiens transmembrane p24 trafficking protein 5 (TMED5), transcript variant 3, non-coding RNA",TMED5,5860,NR_030761.2,no
"NM_018040.5 Homo sapiens G-patch domain containing 2 (GPATCH2), transcript variant 1, mRNA",GPATCH2,5859,NM_018040.5,no
"NM_005012.4 Homo sapiens receptor tyrosine kinase like orphan receptor 1 (ROR1), transcript variant 1, mRNA",ROR1,5858,NM_005012.4,no
"NM_001166108.2 Homo sapiens palladin, cytoskeletal associated protein (PALLD), transcript variant 1, mRNA",PALLD,5858,NM_001166108.2,no
"NM_001366230.1 Homo sapiens Rho GTPase activating protein 28 (ARHGAP28), transcript variant 3, mRNA",ARHGAP28,5858,NM_001366230.1,no
"NM_000748.3 Homo sapiens cholinergic receptor nicotinic beta 2 subunit (CHRNB2), mRNA",CHRNB2,5857,NM_000748.3,no
"NM_020165.4 Homo sapiens RAD18 E3 ubiquitin protein ligase (RAD18), mRNA",RAD18,5857,NM_020165.4,no
"NM_001375646.1 Homo sapiens interferon induced protein 44 like (IFI44L), transcript variant 2, mRNA",IFI44L,5857,NM_001375646.1,no
"NM_015269.2 Homo sapiens terminal uridylyl transferase 4 (TUT4), transcript variant 2, mRNA",TUT4,5856,NM_015269.2,no
"NM_005845.5 Homo sapiens ATP binding cassette subfamily C member 4 (ABCC4), transcript variant 1, mRNA",ABCC4,5855,NM_005845.5,no
