ID,Organism,Molecule Type,Topology,Description,Genome Type,Length,die
NC_001339.1,Artichoke mottled crinkle virus,RNA,linear,"Artichoke mottled crinkle virus, complete genome",ssRNA(+),4789,no
NC_001366.1,Theilovirus,ss-RNA,linear,"Theilovirus, complete genome",ssRNA(+),8101,no
NC_001411.2,Black beetle virus,RNA,linear,"Black beetle virus, complete genome",ssRNA(+),3106,no
NC_001426.1,Escherichia virus BZ13,ss-RNA,linear,"Enterobacteria phage GA, complete genome",ssRNA(+),3466,no
NC_001430.1,Enterovirus D,ss-RNA,linear,"Human enterovirus D, complete genome",ssRNA(+),7390,no
NC_001441.1,Narcissus mosaic virus,ss-RNA,linear,"Narcissus mosaic virus, complete genome",ssRNA(+),6955,no
NC_001469.1,Cucumber necrosis virus,ss-RNA,linear,"Cucumber necrosis virus, complete genome",ssRNA(+),4701,no
NC_001480.1,Eggplant mosaic virus,ss-RNA,linear,"Eggplant mosaic virus, complete genome",ssRNA(+),6331,no
NC_001483.1,Foxtail mosaic virus,ss-RNA,linear,"Foxtail mosaic virus, complete genome",ssRNA(+),6151,no
NC_001492.1,Cryphonectria hypovirus 1,ds-RNA,linear,"Cryphonectria hypovirus 1, complete genome",ssRNA(+),12734,no
NC_001512.1,Onyong-nyong virus,ss-RNA,linear,"O'nyong-nyong virus, complete genome",ssRNA(+),11835,no
NC_001513.1,Ononis yellow mosaic virus,ss-RNA,linear,"Ononis yellow mosaic virus, complete genome",ssRNA(+),6211,no
NC_001517.1,Pepper mottle virus,ss-RNA,linear,"Pepper mottle virus, complete genome",ssRNA(+),9640,no
NC_001545.2,Rubella virus,ss-RNA,linear,"Rubella virus, complete genome",ssRNA(+),9762,no
NC_001554.1,Tomato bushy stunt virus,ss-RNA,linear,"Tomato bushy stunt virus, complete genome",ssRNA(+),4776,yes
NC_001598.1,Beet yellows virus,ss-RNA,linear,"Beet yellows virus, complete genome",ssRNA(+),15480,no
NC_001600.1,Cardamine chlorotic fleck virus,ss-RNA,linear,"Cardamine chlorotic fleck virus, complete genome",ssRNA(+),4041,no
NC_001625.2,Southern cowpea mosaic virus,ss-RNA,linear,"Southern cowpea mosaic virus, complete genome",ssRNA(+),4193,no
NC_001628.1,Pseudomonas phage PP7,ss-RNA,linear,"Pseudomonas phage PP7, complete genome",ssRNA(+),3588,no
NC_001632.1,Rice tungro spherical virus,ss-RNA,linear,"Rice tungro spherical virus, complete genome",ssRNA(+),12226,no
NC_001633.1,Mushroom bacilliform virus,ss-RNA,linear,"Mushroom bacilliform virus, complete genome",ssRNA(+),4009,no
NC_001639.1,Lactate dehydrogenase-elevating virus,ss-RNA,linear,"Lactate dehydrogenase-elevating virus, complete genome",ssRNA(+),14104,no
NC_001696.2,Lucerne transient streak virus,RNA,linear,"Lucerne transient streak virus isolate LTSV-Can, complete genome",ssRNA(+),4279,no
NC_001721.1,Olive latent virus 1,RNA,linear,"Olive latent virus 1, complete genome",ssRNA(+),3699,no
NC_001726.1,Carrot mottle mimic virus,RNA,linear,"Carrot mottle mimic umbravirus (CMoMV) dsRNA1, complete genome",ssRNA(+),4201,no
NC_001728.1,Odontoglossum ringspot virus,RNA,linear,"Odontoglossum ringspot virus, complete genome",ssRNA(+),6618,no
NC_001746.1,Kennedya yellow mosaic virus,ss-RNA,linear,"Kennedya yellow mosaic virus, complete genome",ssRNA(+),6362,no
NC_001753.1,Clover yellow mosaic virus,ss-RNA,linear,"Clover yellow mosaic virus, complete genome",ssRNA(+),7015,no
NC_001768.1,Tobacco vein mottling virus,ss-RNA,linear,"Tobacco vein mottling virus, complete genome",ssRNA(+),9475,no
NC_001777.1,Tobacco necrosis virus A,ss-RNA,linear,"Tobacco necrosis virus A, complete genome",ssRNA(+),3684,no
NC_001780.1,Saguaro cactus virus,ss-RNA,linear,"Saguaro cactus virus, complete genome",ssRNA(+),3879,no
NC_001793.1,Oat blue dwarf virus,RNA,circular,Oat blue dwarf virus complete genome,ssRNA(+),6509,no
NC_001814.1,Ryegrass mosaic virus,ss-RNA,linear,"Ryegrass mosaic virus, complete genome",ssRNA(+),9535,no
NC_001818.1,Galinsoga mosaic virus,RNA,linear,"Galinsoga mosaic virus, complete genome",ssRNA(+),3803,no
NC_001822.1,Leek white stripe virus,RNA,linear,"Leek white stripe virus, complete genome",ssRNA(+),3662,no
NC_001837.1,Pegivirus A,ss-RNA,linear,"Hepatitis GB virus A, complete genome",ssRNA(+),9550,no
NC_001846.1,Murine hepatitis virus,RNA,linear,"Mouse hepatitis virus strain MHV-A59 C12 mutant, complete genome",ssRNA(+),31357,no
NC_001874.1,Rhopalosiphum padi virus,RNA,linear,"Rhopalosiphum padi virus, complete genome",ssRNA(+),10011,no
NC_001890.1,Escherichia virus Qbeta,ss-RNA,linear,"Enterobacteria phage Qbeta, complete genome",ssRNA(+),4215,no
NC_001918.1,Aichi virus 1,RNA,linear,"Aichi virus, complete genome",ssRNA(+),8251,no
NC_001977.1,Erysimum latent virus,RNA,linear,"Erysimum latent virus, complete genome",ssRNA(+),6035,no
NC_001990.1,Nudaurelia capensis beta virus,ss-RNA,linear,"Nudaurelia capensis beta virus, complete genome",ssRNA(+),6625,no
NC_002164.1,Poinsettia mosaic virus,ss-RNA,linear,"Poinsettia mosaic virus, complete genome",ssRNA(+),6099,no
NC_002187.1,Japanese iris necrotic ring virus,ss-RNA,linear,"Japanese iris necrotic ring virus, complete genome",ssRNA(+),4014,no
NC_002306.3,Feline infectious peritonitis virus,RNA,linear,"Feline infectious peritonitis virus, complete genome",ssRNA(+),29355,no
NC_002351.1,Soil-borne cereal mosaic virus,RNA,linear,Soil-borne cereal mosaic virus RNA1 complete genome,ssRNA(+),7025,no
NC_002358.1,Oat golden stripe virus,RNA,linear,Oat golden stripe virus RNA1 complete genome,ssRNA(+),7111,no
NC_002469.1,Mamastrovirus 13,ss-RNA,linear,"Ovine astrovirus, complete genome",ssRNA(+),6440,no
NC_002470.1,Turkey astrovirus,ss-RNA,linear,"Turkey astrovirus, complete genome",ssRNA(+),7003,no
NC_002500.1,Cherry mottle leaf virus,ss-RNA,linear,"Cherry mottle leaf virus, complete genome",ssRNA(+),8018,no
NC_002551.1,Vesicular exanthema of swine virus,ss-RNA,linear,"Vesicular exanthema of swine virus, complete genome",ssRNA(+),8284,no
NC_002552.1,Hop latent virus,ss-RNA,linear,"Hop latent virus, complete genome",ssRNA(+),8612,no
NC_002568.2,Sesbania mosaic virus,ss-RNA,linear,"Sesbania mosaic virus, complete genome",ssRNA(+),4148,no
NC_002588.1,Chayote mosaic virus,ss-RNA,linear,"Chayote mosaic virus, complete genome",ssRNA(+),6364,no
NC_002604.1,Botrytis virus F,RNA,linear,"Botrytis virus F, complete genome",ssRNA(+),6827,no
NC_002615.1,European brown hare syndrome virus,ss-RNA,linear,"European brown hare syndrome virus, complete genome",ssRNA(+),7442,no
NC_002618.2,Cocksfoot mottle virus,ss-RNA,linear,"Cocksfoot mottle virus, complete genome",ssRNA(+),4082,no
NC_002633.1,Cucumber fruit mottle mosaic virus,RNA,linear,"Cucumber fruit mottle mosaic virus, complete genome",ssRNA(+),6562,no
NC_002691.1,Nodamura virus,RNA,linear,"Nodamura virus RNA2, complete genome",ssRNA(+),1336,no
NC_002700.2,Acinetobacter phage AP205,ss-RNA,linear,"Acinetobacter phage AP205, complete genome",ssRNA(+),4268,no
NC_002729.1,Banana mild mosaic virus,ss-RNA,linear,"Banana mild mosaic virus, complete genome",ssRNA(+),7352,no
NC_002786.1,Maize rayado fino virus,RNA,linear,"Maize rayado fino virus isolate Costa Rican, complete genome",ssRNA(+),6305,no
NC_002792.2,Ribgrass mosaic virus,RNA,linear,"Ribgrass mosaic virus, complete genome",ssRNA(+),6311,yes
NC_002795.1,Aconitum latent virus,ss-RNA,linear,"Aconitum latent virus, complete genome",ssRNA(+),8657,no
NC_002815.2,Cactus virus X,RNA,linear,"Cactus virus X, complete genome",ssRNA(+),6614,no
NC_003005.1,Taura syndrome virus,ss-RNA,linear,"Taura syndrome virus, complete genome",ssRNA(+),10205,no
NC_003093.1,Indian citrus ringspot virus,ss-RNA,linear,"Indian citrus ringspot virus, complete genome",ssRNA(+),7560,no
NC_003113.1,Perina nuda virus,ss-RNA,linear,"Perina nuda virus, complete genome",ssRNA(+),9476,no
NC_003347.1,Grapevine fleck virus,RNA,linear,"Grapevine fleck virus, complete genome",ssRNA(+),7564,no
NC_003369.1,Bean leafroll virus,RNA,linear,"Bean leafroll virus, complete genome",ssRNA(+),5964,no
NC_003375.1,Garlic virus A,RNA,linear,"Garlic virus A, complete genome",ssRNA(+),8660,no
NC_003376.1,Garlic virus C,RNA,linear,"Garlic virus C, complete genome",ssRNA(+),8405,no
NC_003399.1,Scallion mosaic virus,ss-RNA,linear,"Scallion mosaic virus, complete genome",ssRNA(+),9324,no
NC_003400.1,Asparagus virus 3,RNA,linear,"Scallion virus X, complete genome",ssRNA(+),6985,no
NC_003412.1,Euprosterna elaeasa virus,ss-RNA,linear,"Euprosterna elaeasa virus, complete genome",ssRNA(+),5698,no
NC_003433.1,Sleeping disease virus,ss-RNA,linear,"Sleeping disease virus, complete genome",ssRNA(+),11900,no
NC_003449.1,Striped jack nervous necrosis virus,ss-RNA,linear,"Striped Jack nervous necrosis virus, complete genome",ssRNA(+),1421,no
NC_003451.1,American plum line pattern virus,RNA,linear,"American plum line pattern virus RNA1, complete genome",ssRNA(+),3373,no
NC_003487.1,Tobacco necrosis virus D,RNA,linear,"Tobacco necrosis virus D, complete genome",ssRNA(+),3762,no
NC_003491.1,Beet mild yellowing virus,ss-RNA,linear,"Beet mild yellowing virus, complete genome",ssRNA(+),5722,no
NC_003499.1,Blueberry scorch virus,ss-RNA,linear,"Blueberry scorch virus, complete genome",ssRNA(+),8512,no
NC_003501.1,Brome streak mosaic virus,ss-RNA,linear,"Brome streak mosaic virus, complete genome",ssRNA(+),9672,no
NC_003532.1,Cymbidium ringspot virus,ss-RNA,linear,"Cymbidium ringspot virus, complete genome",ssRNA(+),4733,no
NC_003535.1,Cowpea mottle virus,ss-RNA,linear,"Cowpea mottle virus, complete genome",ssRNA(+),4029,no
NC_003557.1,Garlic latent virus,RNA,linear,"Garlic latent virus, complete genome",ssRNA(+),8363,no
NC_003602.1,Grapevine virus B,RNA,linear,"Grapevine virus B, complete genome",ssRNA(+),7599,no
NC_003603.1,Groundnut rosette virus,RNA,linear,"Groundnut rosette virus complete genome, strain MC1",ssRNA(+),4019,no
NC_003605.1,Lettuce mosaic virus,ss-RNA,linear,"Lettuce mosaic virus, complete genome",ssRNA(+),10080,no
NC_003606.1,Johnsongrass mosaic virus,ss-RNA,linear,"Johnsongrass mosaic virus, complete genome",ssRNA(+),9779,no
NC_003610.1,Kyuri green mottle mosaic virus,RNA,linear,"Kyuri green mottle mosaic virus, complete genome",ssRNA(+),6514,no
NC_003617.1,Lettuce infectious yellows virus,ss-RNA,linear,"Lettuce infectious yellows virus RNA 1, complete genome",ssRNA(+),8118,no
NC_003628.1,Parsnip yellow fleck virus,ss-RNA,linear,"Parsnip yellow fleck virus, complete genome",ssRNA(+),9871,no
NC_003633.1,Oat chlorotic stunt virus,ss-RNA,linear,"Oat chlorotic stunt virus, complete genome",ssRNA(+),4114,no
NC_003634.1,Physalis mottle virus,ss-RNA,linear,"Physalis mottle virus, complete genome",ssRNA(+),6673,no
NC_003649.1,Pelargonium zonate spot virus,ss-RNA,linear,"Pelargonium zonate spot virus RNA 1, complete genome",ssRNA(+),3383,no
NC_003678.1,Pestivirus giraffe-1 H138,RNA,linear,Pestivirus giraffe-1 H138 complete genome,ssRNA(+),12602,no
NC_003680.1,Barley yellow dwarf virus MAV,ss-RNA,linear,"Barley yellow dwarf virus - MAV, complete genome",ssRNA(+),5273,no
NC_003691.1,Pariacoto virus,RNA,linear,"Pariacato virus chromosome RNA1, complete genome",ssRNA(+),3011,no
NC_003742.1,Cocksfoot streak virus,ss-RNA,linear,"Cocksfoot streak virus, complete genome",ssRNA(+),9663,no
NC_003747.2,Ryegrass mottle virus,RNA,linear,"Ryegrass mottle virus isolate MAFF. No. 307043 from Japan, complete genome",ssRNA(+),4212,no
NC_003781.1,Infectious flacherie virus,ss-RNA,linear,"Infectious flacherie virus, complete genome",ssRNA(+),9650,no
NC_003794.1,Strawberry mild yellow edge virus,ss-RNA,linear,"Strawberry mild yellow edge virus, complete genome",ssRNA(+),5966,no
NC_003795.1,Shallot virus X,ss-RNA,linear,"Shallot virus X, complete genome",ssRNA(+),8832,no
NC_003797.1,Sweet potato mild mottle virus,ss-RNA,linear,"Sweet potato mild mottle virus, complete genome",ssRNA(+),10818,no
NC_003820.1,White clover mosaic virus,ss-RNA,linear,"White clover mosaic virus, complete genome",ssRNA(+),5845,no
NC_003852.1,Obuda pepper virus,ss-RNA,linear,"Obuda pepper virus, complete genome",ssRNA(+),6507,no
NC_003870.1,Sugarcane striate mosaic-associated virus,RNA,linear,"Sugarcane striate mosaic-associated virus, complete genome",ssRNA(+),8146,no
NC_003878.1,Zucchini green mottle mosaic virus,RNA,linear,"Zucchini green mottle mosaic virus, complete genome",ssRNA(+),6513,no
NC_003900.1,Aura virus,ss-RNA,linear,"Aura virus, complete genome",ssRNA(+),11824,no
NC_003930.1,Salmon pancreas disease virus,RNA,linear,"Salmon pancreas disease virus, complete genome",ssRNA(+),11919,no
NC_003976.2,Ljungan virus,ss-RNA,linear,"Ljungan virus, complete genome",ssRNA(+),7590,no
NC_003983.1,Equine rhinitis B virus 1,RNA,linear,"Equine rhinitis B virus 1, complete genome",ssRNA(+),8828,no
NC_003987.1,Porcine sapelovirus 1,ss-RNA,linear,"Porcine sapelovirus 1, complete genome",ssRNA(+),7491,no
NC_003988.1,Enterovirus H,ss-RNA,linear,"Simian enterovirus A, complete genome",ssRNA(+),7374,no
NC_003990.1,Tremovirus A,ss-RNA,linear,"Avian encephalomyelitis virus, complete genome",ssRNA(+),7055,no
NC_004011.1,Leek yellow stripe virus,ss-RNA,linear,"Leek yellow stripe virus, complete genome",ssRNA(+),10142,no
NC_004012.1,Garlic virus E,RNA,linear,"Garlic virus E, complete genome",ssRNA(+),8451,no
NC_004016.1,Oat mosaic virus,ss-RNA,linear,"Oat mosaic virus RNA 1, complete genome",ssRNA(+),7550,no
NC_004035.1,Sorghum mosaic virus,ss-RNA,linear,"Sorghum mosaic virus, complete genome",ssRNA(+),9624,no
NC_004046.1,Cryphonectria parasitica mitovirus 1-NB631,ds-RNA,linear,"Cryphonectria parasitica mitovirus 1-NB631, complete genome",ssRNA(+),2728,no
NC_004049.1,Ophiostoma mitovirus 3a,ss-RNA,linear,"Ophiostoma mitovirus 3a, complete genome",ssRNA(+),2617,no
NC_004050.1,Saccharomyces 23S RNA narnavirus,ds-RNA,linear,"Saccharomyces 23S RNA narnavirus, complete genome",ssRNA(+),2891,no
NC_004051.1,Saccharomyces 20S RNA narnavirus,ss-RNA,linear,"Saccharomyces 20S RNA narnavirus, complete genome",ssRNA(+),2514,no
NC_004052.1,Ophiostoma mitovirus 4,ss-RNA,linear,"Ophiostoma mitovirus 4, complete genome",ssRNA(+),2599,no
NC_004053.1,Ophiostoma mitovirus 5,ss-RNA,linear,"Ophiostoma mitovirus 5, complete genome",ssRNA(+),2474,no
NC_004054.1,Ophiostoma mitovirus 6,ss-RNA,linear,"Ophiostoma novo-ulmi mitovirus 6-Ld, complete genome",ssRNA(+),2343,no
NC_004060.2,Southern bean mosaic virus,RNA,linear,"Southern bean mosaic virus isolate Sao Paulo, complete genome",ssRNA(+),4132,no
NC_004063.1,Turnip yellow mosaic virus,ss-RNA,linear,"Turnip yellow mosaic virus, complete genome",ssRNA(+),6318,no
NC_004064.1,Calicivirus strain NB,RNA,linear,"Calicivirus strain NB, complete genome",ssRNA(+),7453,no
NC_004106.1,Paprika mild mottle virus,RNA,linear,"Paprika mild mottle virus, complete genome",ssRNA(+),6524,no
NC_004123.1,Sweet potato chlorotic stunt virus,ss-RNA,linear,"Sweet potato chlorotic stunt virus RNA 1, complete genome",ssRNA(+),9407,no
NC_004144.1,Flock House virus,RNA,linear,"Flock house virus, complete genome",ssRNA(+),1400,no
NC_004322.1,Tulip virus X,RNA,linear,"Tulip virus X, complete genome",ssRNA(+),6056,no
NC_004346.1,Subterranean clover mottle virus,ss-RNA,linear,"Subterranean clover mottle virus, complete genome",ssRNA(+),4258,no
NC_004362.1,Prunus necrotic ringspot virus,ss-RNA,linear,"Prunus necrotic ringspot virus RNA 1, complete genome",ssRNA(+),3332,no
NC_004366.1,Tobacco bushy top virus,ss-RNA,linear,"Tobacco bushy top virus, complete genome",ssRNA(+),4152,no
NC_004421.1,Aichivirus B,RNA,linear,"Aichivirus B genomic RNA, complete genome, strain:U-1",ssRNA(+),8374,no
NC_004422.1,Youcai mosaic virus,ss-RNA,linear,"Youcai mosaic virus, complete genome",ssRNA(+),6303,no
NC_004451.1,Simian sapelovirus 1,RNA,linear,"Simian sapelovirus 1, complete genome",ssRNA(+),8126,no
NC_004542.1,Canine vesivirus,ss-RNA,linear,"Canine calicivirus, complete genome",ssRNA(+),8513,no
NC_004553.3,Turnip rosette virus,RNA,linear,"Turnip rosette virus isolate TRoV-1, complete genome",ssRNA(+),4086,no
NC_004573.1,Peru tomato mosaic virus,ss-RNA,linear,"Peru tomato mosaic virus, complete genome",ssRNA(+),9899,no
NC_004579.1,Mamastrovirus 10,RNA,linear,"Mink astrovirus, complete genome",ssRNA(+),6610,no
NC_004724.1,Grapevine rootstock stem lesion associated virus,ss-RNA,linear,"Grapevine rootstock stem lesion associated virus, complete genome",ssRNA(+),16527,no
NC_004725.1,Cucumber Bulgarian virus,RNA,linear,"Cucumber Bulgarian latent virus, complete genome",ssRNA(+),4576,no
NC_004807.1,Kashmir bee virus,RNA,linear,"Kashmir bee virus, complete genome",ssRNA(+),9524,no
NC_004810.1,Cucurbit yellow stunting disorder virus,RNA,linear,"Cucurbit yellow stunting disorder virus RNA2, complete genome",ssRNA(+),7976,no
NC_004995.1,Pea stem necrosis virus,RNA,linear,"Pea stem necrosis virus, complete genome",ssRNA(+),4048,no
NC_005028.1,Papaya leaf distortion mosaic virus,ss-RNA,linear,"Papaya leaf-distortion mosaic potyvirus, complete genome",ssRNA(+),10155,no
NC_005029.1,Onion yellow dwarf virus,ss-RNA,linear,"Onion yellow dwarf virus, complete genome",ssRNA(+),10538,no
NC_005092.1,Ectropis obliqua picorna-like virus,ss-RNA,linear,"Ectropis obliqua picorna-like virus, complete genome",ssRNA(+),9394,no
NC_005094.1,Macrobrachium rosenbergii nodavirus,RNA,linear,"Macrobrachium rosenbergii nodavirus RNA-1, complete genome",ssRNA(+),3202,no
NC_005132.1,Botrytis virus X,ss-RNA,linear,"Botrytis virus X, complete genome",ssRNA(+),6966,no
NC_005209.2,Beet pseudoyellows virus,RNA,linear,"Beet pseudo-yellows virus RNA 1, complete genome",ssRNA(+),8006,no
NC_005266.1,Raspberry ringspot virus,RNA,linear,"Raspberry ringspot virus RNA1, complete genome",ssRNA(+),7935,no
NC_005281.1,Heterosigma akashiwo RNA virus,ss-RNA,linear,"Heterosigma akashiwo RNA virus SOG263, complete genome",ssRNA(+),8587,no
NC_005285.1,Pelargonium necrotic spot virus,ss-RNA,linear,"Pelargonium necrotic spot virus, complete genome",ssRNA(+),4744,no
NC_005286.1,Pelargonium flower break virus,ss-RNA,linear,"Pelargonium flower break virus, complete genome",ssRNA(+),3923,no
NC_005287.1,Johnsongrass chlorotic stripe mosaic virus,ss-RNA,linear,"Johnsongrass chlorotic stripe mosaic virus, complete genome",ssRNA(+),4421,no
NC_005288.1,Lily mottle virus,ss-RNA,linear,"Lily mottle virus, complete genome",ssRNA(+),9644,no
NC_005304.1,Beet mosaic virus,ss-RNA,linear,"Beet mosaic virus, complete genome",ssRNA(+),9591,no
NC_005343.1,Poplar mosaic virus,RNA,linear,"Poplar mosaic virus, complete genome",ssRNA(+),8741,no
NC_005790.1,Turkey astrovirus 2,ss-RNA,linear,"Turkey astrovirus 2, complete genome",ssRNA(+),7355,no
NC_005848.1,Parietaria mottle virus,ss-RNA,linear,"Parietaria mottle virus RNA 1, complete genome",ssRNA(+),3518,no
NC_005895.2,Strawberry pallidosis-associated virus,RNA,linear,"Strawberry pallidosis-associated virus RNA 1, complete genome",ssRNA(+),8066,no
NC_005898.1,Dendrolimus punctatus virus,RNA,linear,"Dendrolimus punctatus tetravirus RNA1, complete genome",ssRNA(+),5492,no
NC_005903.1,Agropyron mosaic virus,ss-RNA,linear,"Agropyron mosaic virus, complete genome",ssRNA(+),9540,no
NC_005904.1,Hordeum mosaic virus,ss-RNA,linear,"Hordeum mosaic virus, complete genome",ssRNA(+),9463,no
NC_005985.1,Pelargonium chlorotic ring pattern virus,ss-RNA,linear,"Pelargonium chlorotic ring pattern virus isolate GR57, complete genome",ssRNA(+),3904,no
NC_006059.1,Zygocactus virus X,RNA,linear,"Zygocactus virus X, complete genome",ssRNA(+),6624,no
NC_006060.1,Opuntia virus X,RNA,linear,"Opuntia virus X, complete genome",ssRNA(+),6653,no
NC_006062.1,Potato yellow vein virus,ss-RNA,linear,"Potato yellow vein virus, complete genome",ssRNA(+),8035,no
NC_006064.1,Humulus japonicus latent virus,RNA,linear,"Humulus japonicus latent virus, complete genome",ssRNA(+),3382,no
NC_006264.1,Gremmeniella abietina mitochondrial RNA virus S2,ss-RNA,linear,"Gremmeniella abietina mitochondrial RNA virus S2, complete genome",ssRNA(+),2587,no
NC_006269.1,Sapovirus Hu/Dresden/pJG-Sap01/DE,RNA,linear,"Sapovirus Hu/Dresden/pJG-Sap01/DE, complete genome",ssRNA(+),7429,no
NC_006271.1,Cherry rasp leaf virus,RNA,linear,"Cherry rasp leaf virus, complete genome",ssRNA(+),7034,no
NC_006431.1,Cryphonectria hypovirus 4,RNA,linear,"Cryphonectria hypovirus 4 endogenous virus, complete genome",ssRNA(+),9149,no
NC_006494.1,Varroa destructor virus 1,RNA,linear,"Varroa destructor virus-1, complete genome",ssRNA(+),10112,no
NC_006553.1,Avian sapelovirus,RNA,linear,"Avian sapelovirus, complete genome",ssRNA(+),8289,no
NC_006559.1,Solenopsis invicta virus 1,ss-RNA,linear,"Solenopsis invicta virus 1, complete genome",ssRNA(+),8026,no
NC_006566.1,Fragaria chiloensis latent virus,RNA,linear,"Fragaria chiloensis latent virus RNA 1, complete genome",ssRNA(+),3431,no
NC_006875.1,Calicivirus isolate TCG,ss-RNA,linear,"Calicivirus isolate TCG, complete genome",ssRNA(+),7453,yes
NC_006939.1,Olive mild mosaic virus,RNA,linear,"Olive mild mosaic virus, complete genome",ssRNA(+),3683,no
NC_006941.1,Cucumber vein yellowing virus,ss-RNA,linear,"Cucumber vein yellowing virus, complete genome",ssRNA(+),9751,no
NC_006943.1,Hydrangea ringspot virus,ss-RNA,linear,"Hydrangea ringspot virus, complete genome",ssRNA(+),6185,no
NC_006948.1,Mint virus X,RNA,linear,"Mint virus X, complete genome",ssRNA(+),5914,no
NC_006963.2,Blackberry yellow vein-associated virus,RNA,linear,"Blackberry yellow vein-associated virus RNA2, complete genome",ssRNA(+),7916,no
NC_007017.2,Pelargonium line pattern virus,RNA,linear,"Pelargonium line pattern virus isolate PV-0193, complete genome",ssRNA(+),3883,no
NC_007147.1,Pennisetum mosaic virus,ss-RNA,linear,"Pennisetum mosaic virus, complete genome",ssRNA(+),9611,no
NC_007180.1,Thunberg fritillary mosaic virus,ss-RNA,linear,"Thunberg fritillary virus, complete genome",ssRNA(+),9723,no
NC_007192.1,Lily virus X,ss-RNA,linear,"Lily virus X, complete genome",ssRNA(+),5823,no
NC_007216.1,Wisteria vein mosaic virus,ss-RNA,linear,"Wisteria vein mosaic virus, complete genome",ssRNA(+),9695,no
NC_007341.1,Tomato chlorosis virus,RNA,linear,"Tomato chlorosis virus RNA 2, complete genome",ssRNA(+),8247,no
NC_007408.1,Alstroemeria virus X,ss-RNA,linear,"Alstroemeria virus x, complete genome",ssRNA(+),7009,no
NC_007415.1,Sclerotinia sclerotiorum debilitation-associated RNA virus,ss-RNA,linear,"Sclerotinia sclerotiorum debilitation-associated RNA virus, complete genome",ssRNA(+),5470,no
NC_007447.1,Breda virus,RNA,linear,"Breda virus, complete genome",ssRNA(+),28475,no
NC_007518.1,Heterocapsa circularisquama RNA virus 01,RNA,linear,"Heterocapsa circularisquama RNA virus, complete genome",ssRNA(+),4375,no
NC_007522.1,Aurantiochytrium single-stranded RNA virus 01,ss-RNA,linear,"Schizochytrium single-stranded RNA virus, complete genome",ssRNA(+),9035,no
NC_007609.1,Dulcamara mottle virus,RNA,linear,"Dulcamara mottle virus, complete genome",ssRNA(+),6181,no
NC_007647.1,Oryza sativa alphaendornavirus,ds-RNA,linear,"Oryza sativa endornavirus, complete genome",ssRNA(+),13952,no
NC_007648.1,Vicia faba alphaendornavirus,ds-RNA,linear,"Vicia faba endornavirus, complete genome",ssRNA(+),17635,no
NC_007649.1,Oryza rufipogon alphaendornavirus,ds-RNA,linear,"Oryza rufipogon endornavirus, complete genome",ssRNA(+),13936,no
NC_007679.1,Nerine virus X,ss-RNA,linear,"Nerine virus X, complete genome",ssRNA(+),6582,no
NC_007728.1,East Asian Passiflora virus,ss-RNA,linear,"East Asian Passiflora virus, complete genome",ssRNA(+),10046,no
NC_007729.1,Maize necrotic streak virus,RNA,linear,"Maize necrotic streak virus isolate Arizona, complete genome",ssRNA(+),4094,no
NC_007816.2,Cucumber leaf spot virus,ss-RNA,linear,"Cucumber leaf spot virus, complete genome",ssRNA(+),4431,no
NC_007913.1,Konjac mosaic virus,ss-RNA,linear,"Konjac mosaic virus, complete genome",ssRNA(+),9544,no
NC_007916.1,Newbury agent 1,ss-RNA,linear,"Newbury agent 1 virus, complete genome",ssRNA(+),7454,no
NC_007920.1,Gremmeniella abietina type B RNA virus XL1,RNA,linear,"Gremmeniella abietina type B RNA virus XL1, complete genome",ssRNA(+),10375,no
NC_008020.1,Daphne virus S,ss-RNA,linear,"Daphne virus S, complete genome",ssRNA(+),8739,no
NC_008028.1,Daphne mosaic virus,ss-RNA,linear,"Daphne mosaic virus, complete genome",ssRNA(+),9548,no
NC_008029.1,Homalodisca coagulata virus 1,RNA,linear,"Homalodisca coagulata virus-1, complete genome",ssRNA(+),9345,no
NC_008038.1,Prune dwarf virus,ss-RNA,linear,"Prune dwarf virus, complete genome",ssRNA(+),2129,no
NC_008169.1,Citrus leprosis virus C,RNA,linear,"Citrus leprosis virus C RNA-1, complete genome",ssRNA(+),8745,no
NC_008182.1,Black raspberry necrosis virus,RNA,linear,"Black raspberry necrosis virus RNA1, complete genome",ssRNA(+),7581,no
NC_008249.1,Chickpea chlorotic stunt virus,ss-RNA,linear,"Chickpea chlorotic stunt virus, complete genome",ssRNA(+),5900,no
NC_008251.1,Malva mosaic virus,ss-RNA,linear,"Malva mosaic virus, complete genome",ssRNA(+),6858,no
NC_008266.1,Narcissus common latent virus,RNA,linear,"Narcissus common latent virus, complete genome",ssRNA(+),8539,no
NC_008294.1,Pseudomonas phage PRR1,ss-RNA,linear,"Pseudomonas phage PRR1, complete genome",ssRNA(+),3573,no
NC_008311.1,Norovirus GV,ss-RNA,linear,"Norovirus GV, complete genome",ssRNA(+),7382,no
NC_008365.1,Streptocarpus flower break virus,ss-RNA,linear,"Streptocarpus flower break virus, complete genome",ssRNA(+),6279,no
NC_008366.1,Strawberry chlorotic fleck-associated virus,RNA,linear,"Strawberry chlorotic fleck associated virus, complete genome",ssRNA(+),17039,no
NC_008393.1,Pepper severe mosaic virus,ss-RNA,linear,"Pepper severe mosaic virus, complete genome",ssRNA(+),9890,no
NC_008516.1,White bream virus,ss-RNA,linear,"White bream virus, complete genome",ssRNA(+),26660,no
