Supplementary Table 3: Information of Sequences Used to Test the Model's Ability to Generalize,,,,,,,,
,ID,Organism Name,MolTyp,Topology,Description,Genome Type,Length,Family
1914,MF444288.1,Sclerotinia sclerotiorum hypovirulence associated DNA virus 1-A,DNA,circular,"Sclerotinia sclerotiorum hypovirulence associated DNA virus 1-A isolate SsHADV1-A, complete genome",ssDNA,2166,Genomoviridae
1915,NC_001422.1,Escherichia virus phiX174,ss-DNA,circular,"Coliphage phi-X174, complete genome",ssDNA(+),5386,Microviridae
1916,MH341441.1,Ungulate bocaparvovirus 3,DNA,linear,"Ungulate bocaparvovirus 3 isolate JLG15, complete genome",ssDNA(+/-),4647,Parvoviridae
1917,KR075690.1,Duck parvovirus strain FJM3,DNA,linear,"Duck parvovirus strain FJM3, complete genome",ssDNA(+/-),5017,Parvoviridae
1918,KR816167.1,Human papillomavirus type 176,DNA,circular,"Human papillomavirus type 176 isolate PLC295, complete genome",dsDNA,7226,Papillomaviridae
1919,KR816168.1,Human papillomavirus type 177,DNA,circular,"Human papillomavirus type 177 isolate ACS409, complete genome",dsDNA,7933,Papillomaviridae
1920,KR816169.1,Human papillomavirus 181,DNA,circular,"Human papillomavirus type 181 isolate ACS217, complete genome",dsDNA,7240,Papillomaviridae
1921,KR816170.1,Human papillomavirus type 182,DNA,circular,"Human papillomavirus type 182 isolate ACS214, complete genome",dsDNA,7416,Papillomaviridae
1922,KR816171.1,Human papillomavirus type 183,DNA,circular,"Human papillomavirus type 183 isolate ACS058, complete genome",dsDNA,7286,Papillomaviridae
1923,KR816172.1,Human papillomavirus type 185,DNA,circular,"Human papillomavirus type 185 isolate ACS003, complete genome",dsDNA,7444,Papillomaviridae
1924,KR816173.1,Human papillomavirus 186,DNA,circular,"Human papillomavirus type 186 isolate ACS417, complete genome",dsDNA,7389,Papillomaviridae
1925,KR816175.1,Human papillomavirus type 188,DNA,circular,"Human papillomavirus type 188 isolate ACS417, complete genome",dsDNA,7185,Papillomaviridae
1926,KR816176.1,Human papillomavirus 189,DNA,circular,"Human papillomavirus type 189 isolate ACS190, complete genome",dsDNA,7318,Papillomaviridae
1927,KR816178.1,Human papillomavirus 191,DNA,circular,"Human papillomavirus type 191 isolate ACS338, complete genome",dsDNA,7364,Papillomaviridae
1928,KR816179.1,Human papillomavirus 192,DNA,circular,"Human papillomavirus type 192 isolate ACS142, complete genome",dsDNA,7244,Papillomaviridae
1929,KR816180.1,Human papillomavirus 193,DNA,circular,"Human papillomavirus type 193 isolate ACS260, complete genome",dsDNA,7348,Papillomaviridae
1930,KR816182.1,Human papillomavirus type 195,DNA,circular,"Human papillomavirus type 195 isolate ACS380, complete genome",dsDNA,7569,Papillomaviridae
1931,KR816183.1,Human papillomavirus type 196,DNA,circular,"Human papillomavirus type 196 isolate ACS058, complete genome",dsDNA,7500,Papillomaviridae
1932,MG953829.1,Human bocavirus 1,DNA,linear,"Human bocavirus 1 strain HBoV-1/BRA/PA-160/Brazil/2015 isolate BRA/PA-160, complete genome",ssDNA(+/-),5164,Parvoviridae
1933,MG953831.1,Human bocavirus 2,DNA,linear,"Human bocavirus 2 strain HBoV-2/BRA/TO-237/Brazil/2014 isolate BRA/TO-237, complete genome",ssDNA(+/-),5141,Parvoviridae
1934,MF040760.1,Tomato yellow leaf curl Thailand virus,DNA,circular,"Tomato yellow leaf curl Thailand virus isolate YN5735 segment A, complete genome",ssDNA(+/-),2738,Geminiviridae
1935,AJ748296.1,Sulfolobus islandicus rudivirus 1 variant XX,DNA,linear,"Sulfolobus islandicus rudivirus 1 variant XX, complete genome",dsDNA,33641,Rudiviridae
1936,MG744508.1,Tursiops truncatus papillomavirus 8,DNA,circular,"Tursiops truncatus papillomavirus 8, complete genome",dsDNA,7299,Papillomaviridae
1937,KX665545.1,Cherry tomato leaf curl virus,DNA,circular,"Cherry tomato leaf curl virus strain IH-39, complete genome",ssDNA(+/-),2751,Geminiviridae
1938,KP692114.1,Human papillomavirus type 200,DNA,circular,"Human papillomavirus type 200 isolate HPV200, complete genome",dsDNA,7137,Papillomaviridae
1939,KP692116.1,Human papillomavirus 202,DNA,circular,"Human papillomavirus type 202 isolate HPV202, complete genome",dsDNA,7344,Papillomaviridae
1940,KY986576.1,Pyrrhula pyrrhula polyomavirus 1,DNA,circular,"Pyrrhula pyrrhula polyomavirus strain 36010, complete genome",dsDNA,5282,Polyomaviridae']
1941,KY986579.1,Serinus canaria polyomavirus,DNA,circular,"Serinus canaria polyomavirus strain 32469, complete genome",dsDNA,5403,Polyomaviridae
1942,KX686068.1,Leishmania RNA virus 1,RNA,linear,"Leishmania RNA virus 1 strain M6200, complete genome",dsRNA,5284,Totiviridae
1943,KY962683.1,Bat Hepatitis B virus,DNA,circular,"Bat Hepatitis B virus isolate Guizhou-Md-295, complete genome",dsDNA-RT,3341,Hepadnaviridae
1944,MG676470.1,Sputnik virophage 2,DNA,linear,"Sputnik virophage 2 isolate Rio Negro, complete genome",dsDNA,18145,Lavidaviridae
1945,HQ385749.1,Pan troglodytes verus polyomavirus 2c,DNA,linear,"Pan troglodytes verus polyomavirus 2c isolate 5924, complete genome",dsDNA,5315,Polyomaviridae
1946,MF187211.1,Squash leaf curl virus,DNA,circular,"Squash leaf curl virus isolate SLCuV-Mx:BCS:La Paz, complete genome",ssDNA(+/-),2638,Geminiviridae
1947,MF582544.1,Simian foamy virus 3,DNA,linear,"Simian foamy virus 3 strain SFVcae_FV2014, complete genome",ssRNA-RT,13127,Retroviridae
1948,KM383736.1,Tomato leaf curl New Delhi virus,DNA,circular,"Tomato leaf curl New Delhi virus isolate ToLCNDV-IN[BD:Tha:01:37:Tom:09] segment DNA-A, complete genome",ssDNA(+/-),2739,Geminiviridae
1949,MF173068.1,Tick associated torque teno virus,ss-DNA,circular,"Tick associated torque teno virus isolate tick24_1, complete genome",ssDNA(-),2782,Anelloviridae']
1950,KY235266.1,Simian retrovirus 2,DNA,linear,"Simian retrovirus 2 isolate MfET1006, complete genome",ssRNA-RT,8105,Retroviridae
1951,KY022525.1,Tomato yellow leaf curl virus - KISR,DNA,circular,"UNVERIFIED: Tomato yellow leaf curl virus - KISR strain 7, complete genome",ssDNA(+/-),2782,Geminiviridae
1952,MF168943.1,Pygoscelis adeliae papillomavirus 2,DNA,circular,"Pygoscelis adeliae papillomavirus 2, complete genome",dsDNA,7654,Papillomaviridae
1953,MF288652.1,Human papillomavirus type 18,DNA,circular,"Human papillomavirus type 18 isolate C502873_R1_1041961_(0w), complete genome",dsDNA,7824,Papillomaviridae
1954,LN886661.1,Tomato leaf curl Gujarat virus - [Nepal],DNA,circular,"Tomato leaf curl Gujarat virus complete genome, clone RM289",ssDNA(+/-),2757,Geminiviridae
1955,JQ268284.1,Canine parvovirus 2b,DNA,linear,"Canine parvovirus 2b strain CPV-LZ2, complete genome",ssDNA(+/-),5053,Parvoviridae
1956,KX638481.1,Human papillomavirus type 31,DNA,circular,"Human papillomavirus type 31 isolate 16009008, complete genome",dsDNA,7878,Papillomaviridae
1957,KY196218.1,Tomato mottle leaf curl virus,DNA,circular,"Tomato mottle leaf curl virus isolate PI BR:791:15, complete genome",ssDNA(+/-),2631,Geminiviridae
1958,KP941114.1,Fox circovirus,DNA,circular,"Fox circovirus isolate 55590, complete genome",ssDNA(+/-),2055,Circoviridae
1959,KX954121.1,Ovis aries papillomavirus type 4,DNA,circular,"Ovis aries papillomavirus type 4 isolate Sar1, complete genome",dsDNA,7758,Papillomaviridae
1960,KX514416.1,Human papillomavirus type 35,DNA,circular,"Human papillomavirus type 35 isolate 16B, complete genome",dsDNA,7894,Papillomaviridae
1961,KX514417.1,Human papillomavirus type 39,DNA,circular,"Human papillomavirus type 39 isolate 16B, complete genome",dsDNA,7828,Papillomaviridae
1962,KX514418.1,Human papillomavirus type 56,DNA,circular,"Human papillomavirus type 56 isolate 60B, complete genome",dsDNA,7796,Papillomaviridae
1963,KX514419.1,Human papillomavirus type 61,DNA,circular,"Human papillomavirus type 61 isolate 60B, complete genome",dsDNA,7989,Papillomaviridae
1964,KX514420.1,Human papillomavirus type 82,DNA,circular,"Human papillomavirus type 82 isolate 60B, complete genome",dsDNA,7874,Papillomaviridae
1965,KX514425.1,Human papillomavirus type 67,DNA,circular,"Human papillomavirus type 67 isolate 114B, complete genome",dsDNA,7801,Papillomaviridae
1966,KX514428.1,Human papillomavirus type 68,DNA,circular,"Human papillomavirus type 68 isolate 268, complete genome",dsDNA,7817,Papillomaviridae
1967,KX514432.1,Human papillomavirus type 51,DNA,circular,"Human papillomavirus type 51 isolate 108B, complete genome",dsDNA,7760,Papillomaviridae
1968,KU871314.1,Human parvovirus 4,DNA,linear,"Human parvovirus 4 isolate K172C, complete genome",ssDNA(+/-),5160,Parvoviridae
1969,LC229035.1,Friend murine leukemia virus (ISOLATE 57),RNA,linear,"Friend murine leukemia virus (ISOLATE 57) genomic RNA, complete genome",ssRNA-RT,8359,Retroviridae
1970,KX098515.1,Bovine papillomavirus 04AC14,DNA,circular,"UNVERIFIED: Bovine papillomavirus 04AC14, complete genome",dsDNA,7282,Papillomaviridae
1971,KY242583.1,Human papillomavirus type 209,DNA,circular,"Human papillomavirus type 209 isolate FA108, complete genome",dsDNA,7399,Papillomaviridae
1972,HG934858.1,Chickpea chlorotic dwarf Pakistan virus,DNA,circular,"Chickpea chlorotic dwarf Pakistan complete genome, isolate NIAB-C",ssDNA(+/-),2675,Geminiviridae
1973,KX906605.1,Saccharomyces cerevisiae virus L-BC-2,RNA,linear,"Saccharomyces cerevisiae virus L-BC-2, complete genome",dsRNA,4614,Totiviridae
1974,LC114462.1,Simian immunodeficiency virus - agm,RNA,linear,"Simian immunodeficiency virus - SIVagmMAL genomic RNA, complete genome, strain: ZMB",ssRNA-RT,9676,Retroviridae
1975,KX455485.1,Bovine polyomavirus 1,DNA,circular,"Bovine polyomavirus 1 isolate H8, complete genome",dsDNA,4855,Polyomaviridae
1976,KX455486.1,Bovine polyomavirus 2a,DNA,circular,"Bovine polyomavirus 2a isolate H7, complete genome",dsDNA,5091,Polyomaviridae
1977,KU933255.1,Tomato yellow leaf curl Yunnan virus,DNA,circular,"Tomato yellow leaf curl Yunnan virus isolate YN4296, complete genome",ssDNA(+/-),2757,Geminiviridae
1978,KX599536.1,Canine Papillomavirus 19,DNA,circular,"Canine Papillomavirus 19 isolate tvmb1, complete genome",dsDNA,7941,Papillomaviridae
1979,KT326919.1,Canis familiaris papillomavirus 18,DNA,circular,"Canine papillomavirus 18 isolate Boston 2015, complete genome",dsDNA,7810,Papillomaviridae
1980,KU376491.1,Ageratum leaf curl virus,DNA,circular,"Ageratum leaf curl virus isolate C1, complete genome",ssDNA(+/-),2735,Geminiviridae
1981,KX100571.1,Okra yellow crinkle virus,DNA,circular,"Okra yellow crinkle virus isolate CI061, complete genome",ssDNA(+/-),2792,Geminiviridae
1982,KP410285.1,Beet curly top Iran virus-[Kaf],ss-DNA,circular,"Beet curly top Iran virus-[Kaf] isolate Kaftarak, complete genome",ssDNA(+/-),2843,Geminiviridae
1983,KU601620.1,Malvastrum yellow vein Honghe virus,ss-DNA,circular,"Malvastrum yellow vein Honghe virus, complete genome",ssDNA(+/-),2747,Geminiviridae
1984,KU601621.1,Pepper leaf curl Yunnan virus,ss-DNA,circular,"Pepper leaf curl Yunnan virus, complete genome",ssDNA(+/-),2747,Geminiviridae
1985,KU500804.1,Papaya leaf crumple virus,DNA,circular,"Papaya leaf crumple virus isolate CN3, complete genome",ssDNA(+/-),2736,Geminiviridae
1986,AB027020.1,Human papillomavirus type 69,DNA,circular,"Human papillomavirus type 69 DNA, complete genome",dsDNA,7700,Papillomaviridae
1987,AF039528.1,Sugarcane streak Egypt virus - [Aswan],ss-DNA,circular,"Sugarcane streak Egypt virus - [Aswan], complete genome",ssDNA(+/-),2707,Geminiviridae
1988,AF039529.1,Sugarcane streak Egypt virus - [Ben],ss-DNA,circular,"Sugarcane streak Egypt virus - [Ben], complete genome",ssDNA(+/-),2707,Geminiviridae
1989,AF039530.1,Sugarcane streak Egypt virus - [Man],ss-DNA,circular,"Sugarcane streak Egypt virus - [Man], complete genome",ssDNA(+/-),2704,Geminiviridae
1990,AF049337.1,HIV-1 CRF04_cpx,DNA,linear,"HIV-1 CRF04_cpx clone 94CY032-3 from Cyprus, complete genome",ssRNA-RT,9050,Retroviridae
1991,AF131950.1,Human papillomavirus - cand85,DNA,circular,"Human papillomavirus candHPV85, complete genome",dsDNA,7812,Papillomaviridae
1992,AF193276.1,HIV-1 CRF03_AB,DNA,linear,"HIV-1 CRF03_AB isolate KAL153 from Russia, complete genome",ssRNA-RT,8808,Retroviridae
1993,AF239159.2,Sugarcane streak Egypt virus - [Naga],DNA,linear,"Sugarcane streak Egypt virus - [Naga], complete genome",ssDNA(+/-),2706,Geminiviridae
1994,AM886130.1,Abutilon mosaic virus,DNA,linear,"Abutilon mosaic virus DNA-B south africa isolate, complete genome",ssDNA(+/-),2609,Geminiviridae
1995,AM989927.1,Wheat dwarf virus Bg17,DNA,circular,"Wheat dwarf virus Bg17 complete genome, barley strain",ssDNA(+/-),2734,Geminiviridae
1996,AY217650.1,Simian T-lymphotropic virus 3,DNA,linear,"Simian T-lymphotropic virus 3, complete genome",ssRNA-RT,8917,Retroviridae
1997,AY904722.1,Lynx rufus papillomavirus type 1,DNA,circular,"Lynx rufus papillomavirus type 1, complete genome",dsDNA,8233,Papillomaviridae
1998,AY904723.1,Puma concolor papillomavirus type 1,DNA,circular,"Puma concolor papillomavirus type 1, complete genome",dsDNA,8321,Papillomaviridae
1999,AY904724.1,Panthera leo persica papillomavirus type 1,DNA,circular,"Panthera leo persica papillomavirus type 1, complete genome",dsDNA,8103,Papillomaviridae
2000,DQ080079.1,Human papillomavirus type 68a,DNA,circular,"Human papillomavirus type 68a, complete genome",dsDNA,7822,Papillomaviridae
2001,DQ180494.1,Uncia uncia papillomavirus type 1,DNA,circular,"Uncia uncia papillomavirus type 1, complete genome",dsDNA,8078,Papillomaviridae
2002,DQ462191.1,Human T-lymphotropic virus 3,DNA,linear,"Human T-lymphotropic virus 3 strain Pyl 43, complete genome",ssRNA-RT,8553,Retroviridae
2003,EF558838.1,Macaca fascicularis papillomavirus 7,DNA,circular,"Macaca fascicularis papillomavirus type 7 Mac18, complete genome",dsDNA,8063,Papillomaviridae
2004,EF558840.1,Macaca fascicularis papillomavirus 6,DNA,circular,"Macaca fascicularis papillomavirus type 6 Mac39, complete genome",dsDNA,7943,Papillomaviridae
2005,EF558841.1,Macaca fascicularis papillomavirus 4,DNA,circular,"Macaca fascicularis papillomavirus type 4 Mac54, complete genome",dsDNA,7950,Papillomaviridae
2006,EF558842.1,Macaca fascicularis papillomavirus 8,DNA,circular,"Macaca fascicularis papillomavirus type 8 Mac70, complete genome",dsDNA,8001,Papillomaviridae
2007,EF558843.1,Macaca fascicularis papillomavirus 5,DNA,circular,"Macaca fascicularis papillomavirus type 5 Mac76, complete genome",dsDNA,7990,Papillomaviridae
2008,EF591299.1,Macaca fascicularis papillomavirus 3b,DNA,circular,"Macaca fascicularis papillomavirus type 3b isolate Mac171, complete genome",dsDNA,7957,Papillomaviridae
2009,EU293537.2,Caprine arthritis encephalitis virus Roccaverano,DNA,linear,"Caprine arthritis encephalitis virus Roccaverano, complete genome",ssRNA-RT,8418,Retroviridae
2010,EU490516.1,Macaca fascicularis papillomavirus 9,DNA,circular,"Macaca fascicularis papillomavirus type 9 isolate Mac592, complete genome",dsDNA,7988,Papillomaviridae
2011,FM210034.1,Wheat dwarf virus H07,DNA,circular,"Wheat dwarf virus H07 complete genome, barley strain",ssDNA(+/-),2734,Geminiviridae
2012,J02342.1,Rous sarcoma virus - Prague C,RNA,linear,"Rous sarcoma virus - Prague C, complete genome",ssRNA-RT,9625,Retroviridae
2013,U04005.1,Simian immunodeficiency virus - agm.sab-1,DNA,linear,"Simian immunodeficiency virus - agm.sab-1, complete genome",ssRNA-RT,10036,Retroviridae
2014,U21247.1,Human spumaretrovirus,RNA,linear,Human spumaretrovirus complete genome,ssRNA-RT,11954,Retroviridae
2015,U58991.1,Simian immunodeficiency virus - agm.tan-1,DNA,linear,"Simian immunodeficiency virus - agm.tan-1, complete genome",ssRNA-RT,9784,Retroviridae
2016,X02869.1,Wheat dwarf virus - [Sweden],DNA,circular,Wheat dwarf virus - [Sweden] complete genome,ssDNA(+/-),2749,Geminiviridae
2017,AF052428.1,Rous sarcoma virus - Schmidt-Ruppin B,DNA,linear,"Rous sarcoma virus strain Schmidt-Ruppin B, complete genome",ssRNA-RT,9396,Retroviridae
2018,AF053745.1,Mus dunni endogenous virus,DNA,linear,Mus dunni endogenous virus complete genome,ssRNA-RT,8655,Retroviridae
2019,FR686510.1,SIVcpz Ptt-04Cam155,DNA,linear,"SIVcpz proviral complete genome, isolate Ptt-04Cam155",ssRNA-RT,9899,Retroviridae
2020,FR686511.1,SIVcpz Ptt-09Cam155,DNA,linear,"SIVcpz proviral complete genome, isolate Ptt-09Cam155",ssRNA-RT,9870,Retroviridae
2021,FR751039.1,Human papillomavirus type 68b,DNA,circular,"Human papillomavirus type 68b, complete genome",dsDNA,7836,Papillomaviridae
2022,GQ845441.1,Human papillomavirus type 119,DNA,circular,"Human papillomavirus type 119, complete genome",dsDNA,7251,Papillomaviridae
2023,GQ845446.1,Human papillomavirus type 124,DNA,circular,"Human papillomavirus type 124, complete genome",dsDNA,7489,Papillomaviridae
2024,GU117620.1,Delphinus delphis papillomavirus,DNA,circular,"Delphinus delphis papillomavirus, complete genome",dsDNA,7852,Papillomaviridae
2025,GU117624.1,Lagenorhynchus acutus papillomavirus,DNA,circular,"Lagenorhynchus acutus papillomavirus, complete genome",dsDNA,7915,Papillomaviridae
2026,GU117630.1,Human papillomavirus 130,DNA,circular,"Human papillomavirus type 130, complete genome",dsDNA,7388,Papillomaviridae
2027,GU117633.1,Human papillomavirus 133,DNA,circular,"Human papillomavirus type 133, complete genome",dsDNA,7358,Papillomaviridae
2028,GU129016.1,Human papillomavirus 148,DNA,circular,"Human papillomavirus type 148, complete genome",dsDNA,7164,Papillomaviridae
2029,HM999990.1,Human papillomavirus 138,DNA,circular,"Human papillomavirus type 138 isolate GH13, complete genome",dsDNA,7353,Papillomaviridae
2030,HM999991.1,Human papillomavirus 139,DNA,circular,"Human papillomavirus type 139 isolate GH1646, complete genome",dsDNA,7360,Papillomaviridae
2031,HM999994.1,Human papillomavirus 142,DNA,circular,"Human papillomavirus type 142 isolate GH1302, complete genome",dsDNA,7374,Papillomaviridae
2032,HQ738642.1,Circovirus NGchicken38/NGA/2009,DNA,circular,"Circovirus NGchicken38/NGA/2009 isolate NGchicken38, complete genome",ssDNA(+/-),2036,Circoviridae
2033,JN134185.1,Simian endogenous retrovirus vero ATCC CCL-81,mRNA,linear,"Simian endogenous retrovirus vero ATCC CCL-81 isolate SRVcae, complete genome",ssRNA-RT,7931,Retroviridae
2034,KU522121.1,Grapevine geminivirus,DNA,linear,"Grapevine geminivirus isolate RK-1, complete genome",ssDNA(+/-),3204,Geminiviridae
2035,M11841.1,Simian retrovirus 1,ss-RNA,circular,"Simian SRV-1 type D retrovirus (L47.1), complete genome",ssRNA-RT,8173,Retroviridae
2036,AF007881.1,Maize streak virus - [Set],DNA,circular,"Maize streak virus - [Set], complete genome",ssDNA(+/-),2701,Geminiviridae
2037,D10652.1,Rous sarcoma virus - Schmidt-Ruppin D,RNA,linear,"Rous sarcoma virus - Schmidt-Ruppin D genomic RNA, complete genome",ssRNA-RT,9317,Retroviridae
2038,D90252.1,Human papillomavirus type 5b,DNA,circular,Human papillomavirus type 5b complete genome,dsDNA,7779,Papillomaviridae
2039,EF558839.2,Macaca fascicularis papillomavirus 3,DNA,circular,"Macaca fascicularis papillomavirus type 3 Mac26, complete genome",dsDNA,7935,Papillomaviridae
2040,EF591300.1,Rhesus papillomavirus 1b,DNA,circular,"Rhesus papillomavirus type 1b isolate Mac170, complete genome",dsDNA,8025,Papillomaviridae
2041,EU490515.1,Macaca fascicularis papillomavirus 10,DNA,circular,"Macaca fascicularis papillomavirus type 10 isolate Mac616, complete genome",dsDNA,7920,Papillomaviridae
2042,FJ492742.1,Canine papillomavirus 7,DNA,circular,"Canine papillomavirus 7 isolate Edinburgh, complete genome",dsDNA,7955,Papillomaviridae
2043,FM877783.1,HIV-1 M_97CD.MBFE250,DNA,linear,"HIV-1 M_97CD.MBFE250 proviral complete genome, isolate 97CD.MBFE250",ssRNA-RT,9763,Retroviridae
2044,GQ153916.1,Enterobacteria phage f1,DNA,circular,"Mutant Enterobacteria phage f1 isolate F1_1, complete genome",ssDNA(+),6407,Inoviridae
2045,U85505.1,Simian endogenous retrovirus,DNA,linear,"Simian endogenous retrovirus, complete genome",ssRNA-RT,8393,Retroviridae
2046,U85660.1,Human papillomavirus RTRX7,DNA,circular,"Human papillomavirus RTRX7, complete genome",dsDNA,7731,Papillomaviridae
2047,U94692.1,Rauscher murine leukemia virus,DNA,linear,"Rauscher murine leukemia virus, complete genome",ssRNA-RT,8282,Retroviridae
2048,LC099965.1,Tomato yellow leaf curl virus - IL [JR:Osaka],DNA,circular,"Tomato yellow leaf curl virus - IL [JR:Osaka] DNA, complete genome",ssDNA(+/-),2781,Geminiviridae
2049,U21941.1,Human papillomavirus type 70,DNA,linear,"Human papillomavirus type 70, complete genome",dsDNA,7905,Papillomaviridae
2050,KX266300.1,Enterobacteria phage ID11,DNA,circular,"Enterobacteria phage ID11 clone alpha_2A_F5_1, complete genome",ssDNA(+),5577,Microviridae
2051,KT184856.1,Pan paniscus polyomavirus 1,DNA,circular,"Pan paniscus polyomavirus 1 isolate Bon4, complete genome",dsDNA,5324,Polyomaviridae
2052,KT272399.1,Canis familiaris papillomavirus 17,DNA,circular,"Canine papillomavirus 17, complete genome",dsDNA,8007,Papillomaviridae
2053,KU682839.1,Tomato rugose yellow leaf curl virus,DNA,circular,"Tomato rugose yellow leaf curl virus isolate RS71 Morro Redondo - RS, complete genome",ssDNA(+/-),2690,Geminiviridae
2054,KU845301.2,Saccharomyces cerevisiae virus L-A-28,RNA,linear,"Saccharomyces cerevisiae virus L-A-28, complete genome",dsRNA,4584,Totiviridae
2055,KX058879.1,Vibrio phage VcP032,DNA,linear,"Vibrio phage VcP032, complete genome",dsDNA,33108,Myoviridae
2056,KU170199.1,Avian leukosis virus ev/J,DNA,linear,"UNVERIFIED: Avian leukosis virus subgroup J isolate GDQJ-4, complete genome",ssRNA-RT,7587,Retroviridae
2057,KU248828.1,Papillomavirus JL74,DNA,circular,"Papillomavirus JL74, complete genome",dsDNA,7262,Papillomaviridae
2058,KU198364.1,Tobacco curly shoot virus-Y3560,ss-DNA,circular,"Tobacco curly shoot virus-Y3560 isolate Y3560, complete genome",ssDNA(+/-),2744,Geminiviridae
2059,KT901797.1,Canis familiaris papillomavirus 20,DNA,circular,"Canine papillomavirus 20 isolate Ada, complete genome",dsDNA,7839,Papillomaviridae
2060,KT899745.1,Mink enteritis virus,DNA,linear,"Mink enteritis virus strain MEV-LHV, complete genome",ssDNA(+/-),5113,Parvoviridae
2061,KU569162.1,Galliform aveparvovirus 1,DNA,linear,"Galliform aveparvovirus 1 isolate IPV, complete genome",ssDNA(+/-),5154,Parvoviridae
2062,KU298887.1,Human papillomavirus type 30,DNA,circular,"Human papillomavirus type 30 isolate 110A.30, complete genome",dsDNA,7817,Papillomaviridae
2063,KU298891.1,Human papillomavirus type 33,DNA,circular,"Human papillomavirus type 33 isolate 65A.33, complete genome",dsDNA,7909,Papillomaviridae
2064,KU298896.1,Human papillomavirus type 42,DNA,circular,"Human papillomavirus type 42 isolate 103C.42, complete genome",dsDNA,7917,Papillomaviridae
2065,KU298898.1,Human papillomavirus type 44,DNA,circular,"Human papillomavirus type 44 isolate 11C.44, complete genome",dsDNA,7808,Papillomaviridae
2066,KU298921.1,Human papillomavirus type 59,DNA,circular,"Human papillomavirus type 59 isolate 32A.59, complete genome",dsDNA,7898,Papillomaviridae
2067,KU298924.1,Human papillomavirus type 62,DNA,circular,"Human papillomavirus type 62 isolate 101A.62, complete genome",dsDNA,8092,Papillomaviridae
2068,KU298934.1,Human papillomavirus type 73,DNA,circular,"Human papillomavirus type 73 isolate 58A.73, complete genome",dsDNA,7673,Papillomaviridae
2069,KU298940.1,Human papillomavirus type 87,DNA,circular,"Human papillomavirus type 87 isolate 65A.87, complete genome",dsDNA,7992,Papillomaviridae
2070,KU298943.1,Human papillomavirus type 89,DNA,circular,"Human papillomavirus type 89 isolate 65A.89, complete genome",dsDNA,8076,Papillomaviridae
2071,KU298947.1,Human papillomavirus type 102,DNA,circular,"Human papillomavirus type 102 isolate 36A.102, complete genome",dsDNA,8056,Papillomaviridae
2072,KT895258.1,Banana streak virus,DNA,circular,"Banana streak virus isolate DN5-1, complete genome",dsDNA-RT,7769,Caulimoviridae
2073,KT724047.1,Gibbon ape leukemia virus,DNA,linear,"Gibbon ape leukemia virus strain San Francisco, complete genome",ssRNA-RT,8373,Retroviridae
2074,KT724051.1,Woolly monkey sarcoma virus,DNA,linear,"Woolly monkey sarcoma virus strain WMV SSAV, complete genome",ssRNA-RT,8467,Retroviridae
2075,KU980916.1,Tomato leaf curl China virus,DNA,circular,"Tomato leaf curl China virus isolate BS1, complete genome",ssDNA(+/-),2733,Geminiviridae
2076,KT944080.1,Macaca fuscata papillomavirus 1,DNA,circular,"Macaca fuscata papillomavirus 1 isolate OSCC1, complete genome",dsDNA,7898,Papillomaviridae
2077,KU159177.1,Avian leukosis and sarcoma virus,DNA,linear,"Avian leukosis and sarcoam virus SJ-5 strain, complete genome",ssRNA-RT,8415,Retroviridae
2078,KU831549.1,Bacillus phage vB_BsuP-Goe1,DNA,linear,"Bacillus phage vB_BsuP-Goe1, complete genome",dsDNA,18379,Podoviridae
2079,KU162869.1,Human adenovirus 40,DNA,linear,"Human adenovirus 40 strain HoviX, complete genome",dsDNA,34210,Adenoviridae
2080,KP861980.1,Alouatta guariba papillomavirus 1,DNA,circular,"Alouatta guariba papillomavirus 1 isolate AgPV1_PPV03_SP, complete genome",dsDNA,7722,Papillomaviridae
2081,KU324802.1,Murine leukemia virus CasE#1,DNA,linear,"Murine leukemia virus CasE#1, complete genome",ssRNA-RT,8203,Retroviridae
2082,HG941639.1,Watermelon chlorotic stunt virus,DNA,circular,"Watermelon chlorotic stunt virus, clone WM-2, complete genome",ssDNA(+/-),2752,Geminiviridae
2083,HG941640.1,Tomato yellow leaf curl Oman virus,DNA,circular,"Tomato yellow leaf curl Oman virus, clone WM-9, complete genome",ssDNA(+/-),2776,Geminiviridae
2084,HG941641.1,Tomato yellow leaf curl Al-Batinah virus,DNA,circular,"Tomato yellow leaf curl Al-Batinah virus, clone BZ-1, complete genome",ssDNA(+/-),2790,Geminiviridae
2085,HG941643.1,Chilli leaf curl Oman virus,DNA,circular,"Chilli leaf curl Oman virus, clone BZ-8, complete genome",ssDNA(+/-),2759,Geminiviridae
2086,HG937525.1,Eclipta yellow vein mosaic virus,DNA,linear,"Eclipta yellow vein mosaic virus, isolate ZI3, clone Ag5V1, complete genome",ssDNA(+/-),2741,Geminiviridae
2087,KP329562.1,Simian adenovirus 11,DNA,linear,"Simian adenovirus 11 strain P-10, complete genome",dsDNA,34510,Adenoviridae
2088,KC821628.1,Cellulophaga phage phi18:4,DNA,circular,"Cellulophaga phage phi18:4, complete genome",ssDNA(+),6478,Microviridae
2089,KC821631.1,Cellulophaga phage phi48:1,DNA,circular,"Cellulophaga phage phi48:1, complete genome",ssDNA(+),6478,Microviridae
2090,KT268312.1,Primate erythroparvovirus 1,DNA,linear,"Primate erythroparvovirus 1 isolate B19V/RJ2929, complete genome",ssDNA(+/-),5594,Parvoviridae
